fips,stname,Ctyname,cases_2018,ststatus,pop_2018,pct_uninsured,incidence_2018,active_months_10c,mean_annual_temp_c
9001,Connecticut,Fairfield County,289,High Incidenc,943823,8.3,30.620148057421783,6,11.14
9003,Connecticut,Hartford County,217,High Incidenc,892697,5.3,24.308359947440177,6,10.43
9005,Connecticut,Litchfield County,130,High Incidenc,181111,5.3,71.77918514060438,6,9.07
9007,Connecticut,Middlesex County,200,High Incidenc,162682,4.1,122.93923113804848,6,11.01
9009,Connecticut,New Haven County,333,High Incidenc,857620,6.2,38.82838553205382,6,11.13
9011,Connecticut,New London County,387,High Incidenc,266784,5.5,145.0611730838431,6,10.93
9013,Connecticut,Tolland County,138,High Incidenc,150921,4,91.4385671974079,6,10.12
9015,Connecticut,Windham County,149,High Incidenc,117027,5.4,127.32104557068028,6,10.23
9110,Connecticut,Capitol,NA,High Incidenc,NA,NA,NA,NA,NA
9120,Connecticut,Greater Bridgeport,NA,High Incidenc,NA,NA,NA,NA,NA
9130,Connecticut,Lower Connecticut River Valley,NA,High Incidenc,NA,NA,NA,NA,NA
9140,Connecticut,Naugatuck Valley,NA,High Incidenc,NA,NA,NA,NA,NA
9150,Connecticut,Northeastern Connecticut,NA,High Incidenc,NA,NA,NA,NA,NA
9160,Connecticut,Northwest Hills,NA,High Incidenc,NA,NA,NA,NA,NA
9170,Connecticut,South Central Connecticut,NA,High Incidenc,NA,NA,NA,NA,NA
9180,Connecticut,Southeastern Connecticut,NA,High Incidenc,NA,NA,NA,NA,NA
9190,Connecticut,Western Connecticut,NA,High Incidenc,NA,NA,NA,NA,NA
10001,Delaware,Kent County,75,High Incidenc,178550,7,42.00504060487258,7,13.8
10003,Delaware,New Castle County,285,High Incidenc,559335,5.9,50.953364262919365,7,13.15
10005,Delaware,Sussex County,127,High Incidenc,229286,9.1,55.3893390787052,7,14.46
11001,District of Columbia,District of Columbia,79,High Incidenc,702455,3.6,11.246272003188816,NA,NA
23001,Maine,Androscoggin County,68,High Incidenc,107679,9.8,63.150660760222515,5,7.16
23003,Maine,Aroostook County,4,High Incidenc,67111,13.8,5.960274768666835,5,3.93
23005,Maine,Cumberland County,284,High Incidenc,293557,8.4,96.74441420235252,5,7.57
23007,Maine,Franklin County,13,High Incidenc,29897,11,43.482623674616185,5,4.58
23009,Maine,Hancock County,174,High Incidenc,54811,12.1,317.4545255514404,5,7.1
23011,Maine,Kennebec County,181,High Incidenc,122083,9.2,148.25979047041767,5,7.12
23013,Maine,Knox County,104,High Incidenc,39771,11.7,261.49707072992885,5,7.25
23015,Maine,Lincoln County,62,High Incidenc,34342,13.4,180.53695183740027,5,7.47
23017,Maine,Oxford County,47,High Incidenc,57618,11.8,81.57173105626714,5,5.78
23019,Maine,Penobscot County,77,High Incidenc,151096,11.7,50.96097845078626,5,6.06
23021,Maine,Piscataquis County,2,High Incidenc,16800,12.4,11.904761904761903,5,4.42
23023,Maine,Sagadahoc County,47,High Incidenc,35634,8.6,131.8965033395072,5,7.58
23025,Maine,Somerset County,45,High Incidenc,50592,11.7,88.94686907020872,5,4.5
23027,Maine,Waldo County,78,High Incidenc,39694,11.4,196.50324986144,5,6.96
23029,Maine,Washington County,15,High Incidenc,31490,16.3,47.634169577643696,5,6.74
23031,Maine,York County,201,High Incidenc,206229,8.6,97.46446910958208,5,7.82
24001,Maryland,Allegany County,85,High Incidenc,70975,5.5,119.76047904191616,6,11.48
24003,Maryland,Anne Arundel County,90,High Incidenc,576031,5,15.624159116436442,7,14.23
24005,Maryland,Baltimore County,176,High Incidenc,828431,6.2,21.24497996815667,6,12.79
24009,Maryland,Calvert County,103,High Incidenc,92003,3.8,111.95287110202928,7,14.36
24011,Maryland,Caroline County,4,High Incidenc,33304,8.1,12.010569300984866,7,14.16
24013,Maryland,Carroll County,147,High Incidenc,168429,4.2,87.27713161035213,6,12.09
24015,Maryland,Cecil County,65,High Incidenc,102826,5.3,63.21358411296754,6,12.84
24017,Maryland,Charles County,8,High Incidenc,161503,4.7,4.953468356624954,7,14.42
24019,Maryland,Dorchester County,0,High Incidenc,31998,7.4,0,7,14.66
24021,Maryland,Frederick County,110,High Incidenc,255648,5.6,43.02791338089874,6,12.41
24023,Maryland,Garrett County,14,High Incidenc,29163,7.1,48.00603504440558,6,9.35
24025,Maryland,Harford County,156,High Incidenc,253956,4.7,61.42796389925814,6,12.6
24027,Maryland,Howard County,107,High Incidenc,323196,4.2,33.10684538174978,7,12.83
24029,Maryland,Kent County,9,High Incidenc,19383,8.1,46.432440798637984,7,13.49
24031,Maryland,Montgomery County,135,High Incidenc,1052567,7.8,12.825786862023987,7,13.05
24033,Maryland,Prince George's County,16,High Incidenc,909308,11.1,1.7595798123408128,7,13.98
24035,Maryland,Queen Anne's County,30,High Incidenc,50251,5.2,59.700304471552805,7,13.8
24037,Maryland,St. Mary's County,30,High Incidenc,112664,5.5,26.627849179862245,7,14.57
24039,Maryland,Somerset County,5,High Incidenc,25675,7.5,19.474196689386563,7,14.95
24041,Maryland,Talbot County,12,High Incidenc,36968,7.7,32.46050638389959,7,14.48
24043,Maryland,Washington County,36,High Incidenc,150926,6.2,23.85274902932563,6,12.24
24045,Maryland,Wicomico County,11,High Incidenc,103195,7.9,10.659431173990988,7,14.67
24047,Maryland,Worcester County,4,High Incidenc,51823,7,7.718580553036297,7,14.72
24510,Maryland,Baltimore city,29,High Incidenc,602495,7.4,4.813317952846082,7,14.01
25001,Massachussetts,Barnstable County,0,High Incidenc,213413,3.7,0,6,10.81
25003,Massachussetts,Berkshire County,0,High Incidenc,126348,3.5,0,5,7.98
