"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
9001,"Connecticut","Fairfield County",289,"High Incidenc",943823,8.3,30.6201480574218,6,11.14,57.3040818563256,0.999999999730739
9003,"Connecticut","Hartford County",217,"High Incidenc",892697,5.3,24.3083599474402,6,10.43,52.022650627981,0.999999999997277
9005,"Connecticut","Litchfield County",130,"High Incidenc",181111,5.3,71.7791851406044,6,9.07,67.6807848472746,0.999999999999992
9007,"Connecticut","Middlesex County",200,"High Incidenc",162682,4.1,122.939231138048,6,11.01,62.9420095354031,0.999999999893729
9009,"Connecticut","New Haven County",333,"High Incidenc",857620,6.2,38.8283855320538,6,11.13,53.9912884023587,0.999999999715202
9011,"Connecticut","New London County",387,"High Incidenc",266784,5.5,145.061173083843,6,10.93,57.2117381581852,0.926573812704345
9013,"Connecticut","Tolland County",138,"High Incidenc",150921,4,91.4385671974079,6,10.12,65.1727599545934,0.999999999999934
9015,"Connecticut","Windham County",149,"High Incidenc",117027,5.4,127.32104557068,6,10.23,65.4450857977258,0.988499919882637
9110,"Connecticut","Capitol",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9120,"Connecticut","Greater Bridgeport",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9130,"Connecticut","Lower Connecticut River Valley",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9140,"Connecticut","Naugatuck Valley",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9150,"Connecticut","Northeastern Connecticut",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9160,"Connecticut","Northwest Hills",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9170,"Connecticut","South Central Connecticut",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9180,"Connecticut","Southeastern Connecticut",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
9190,"Connecticut","Western Connecticut",NA,"High Incidenc",NA,NA,NA,NA,NA,NA,NA
10001,"Delaware","Kent County",75,"High Incidenc",178550,7,42.0050406048726,7,13.8,22.3252092680997,0.999999999999977
10003,"Delaware","New Castle County",285,"High Incidenc",559335,5.9,50.9533642629194,7,13.15,22.2845534093792,0.999999999999991
10005,"Delaware","Sussex County",127,"High Incidenc",229286,9.1,55.3893390787052,7,14.46,29.5924971345576,0.999999999999996
11001,"District of Columbia","District of Columbia",79,"High Incidenc",702455,3.6,11.2462720031888,NA,NA,24.1373436695481,0.999999999999442
23001,"Maine","Androscoggin County",68,"High Incidenc",107679,9.8,63.1506607602225,5,7.16,59.9311529856654,1.00000000003611
23003,"Maine","Aroostook County",4,"High Incidenc",67111,13.8,5.96027476866684,5,3.93,53.1554032557197,0.769046018406495
23005,"Maine","Cumberland County",284,"High Incidenc",293557,8.4,96.7444142023525,5,7.57,58.4559659673312,0.96316837486806
23007,"Maine","Franklin County",13,"High Incidenc",29897,11,43.4826236746162,5,4.58,73.4584664177715,0.999621111765337
23009,"Maine","Hancock County",174,"High Incidenc",54811,12.1,317.45452555144,5,7.1,67.1304462199103,0.972857567498079
23011,"Maine","Kennebec County",181,"High Incidenc",122083,9.2,148.259790470418,5,7.12,64.4475536377248,0.999999999996562
23013,"Maine","Knox County",104,"High Incidenc",39771,11.7,261.497070729929,5,7.25,61.3527715275897,0.999999999997747
23015,"Maine","Lincoln County",62,"High Incidenc",34342,13.4,180.5369518374,5,7.47,67.8927253667788,0.999999999999887
23017,"Maine","Oxford County",47,"High Incidenc",57618,11.8,81.5717310562671,5,5.78,70.6298230276548,0.990132863007645
23019,"Maine","Penobscot County",77,"High Incidenc",151096,11.7,50.9609784507863,5,6.06,70.4652186466431,1.00000000000237
23021,"Maine","Piscataquis County",2,"High Incidenc",16800,12.4,11.9047619047619,5,4.42,74.3638859241481,1.00000000000136
23023,"Maine","Sagadahoc County",47,"High Incidenc",35634,8.6,131.896503339507,5,7.58,61.8803414124359,0.992039799804363
23025,"Maine","Somerset County",45,"High Incidenc",50592,11.7,88.9468690702087,5,4.5,69.1589715643975,0.971666461098311
23027,"Maine","Waldo County",78,"High Incidenc",39694,11.4,196.50324986144,5,6.96,67.4337362017768,1.00000000019348
23029,"Maine","Washington County",15,"High Incidenc",31490,16.3,47.6341695776437,5,6.74,69.7303252129656,1.00000000000153
23031,"Maine","York County",201,"High Incidenc",206229,8.6,97.4644691095821,5,7.82,61.7268858651948,0.985057766768581
24001,"Maryland","Allegany County",85,"High Incidenc",70975,5.5,119.760479041916,6,11.48,63.5336705857302,0.96371428904292
24003,"Maryland","Anne Arundel County",90,"High Incidenc",576031,5,15.6241591164364,7,14.23,45.4756528509011,0.999999999999856
24005,"Maryland","Baltimore County",176,"High Incidenc",828431,6.2,21.2449799681567,6,12.79,35.695732797991,1.00000000000001
24009,"Maryland","Calvert County",103,"High Incidenc",92003,3.8,111.952871102029,7,14.36,56.1342747654891,0.999999999999919
24011,"Maryland","Caroline County",4,"High Incidenc",33304,8.1,12.0105693009849,7,14.16,26.1920766954966,0.999999999999999
24013,"Maryland","Carroll County",147,"High Incidenc",168429,4.2,87.2771316103521,6,12.09,26.4931745215272,0.999999999999989
24015,"Maryland","Cecil County",65,"High Incidenc",102826,5.3,63.2135841129675,6,12.84,29.8585532928747,1.00000000000004
24017,"Maryland","Charles County",8,"High Incidenc",161503,4.7,4.95346835662495,7,14.42,58.161340257926,1.00000000001704
24019,"Maryland","Dorchester County",0,"High Incidenc",31998,7.4,0,7,14.66,29.3925829661512,1
24021,"Maryland","Frederick County",110,"High Incidenc",255648,5.6,43.0279133808987,6,12.41,33.0293043678429,1.00000000000064
24023,"Maryland","Garrett County",14,"High Incidenc",29163,7.1,48.0060350444056,6,9.35,58.2461132784753,0.99999999999997
24025,"Maryland","Harford County",156,"High Incidenc",253956,4.7,61.4279638992581,6,12.6,33.4278805878936,0.921495855776856
24027,"Maryland","Howard County",107,"High Incidenc",323196,4.2,33.1068453817498,7,12.83,35.4498071767251,1.00000000000013
24029,"Maryland","Kent County",9,"High Incidenc",19383,8.1,46.432440798638,7,13.49,21.5115775191855,0.999999999999907
24031,"Maryland","Montgomery County",135,"High Incidenc",1052567,7.8,12.825786862024,7,13.05,35.4773627158637,0.999999999999914
24033,"Maryland","Prince George's County",16,"High Incidenc",909308,11.1,1.75957981234081,7,13.98,41.5607028381779,0.999999999999866
24035,"Maryland","Queen Anne's County",30,"High Incidenc",50251,5.2,59.7003044715528,7,13.8,23.65633399894,1.00000000000002
24037,"Maryland","St. Mary's County",30,"High Incidenc",112664,5.5,26.6278491798622,7,14.57,50.0006266126217,0.999999999999939
