"HUC_12","PFOR90","PFOR"
"          NA",92.3737717,82.1439438
"          NA",90.9723816,79.9486389
"          NA",95.0619888,83.0357437
"          NA",94.3302612,87.037468
"          NA",90.3185501,83.5113754
"          NA",94.8714981,89.1246109
"          NA",94.2976837,82.7376633
"          NA",94.4121628,84.1654434
"          NA",94.7464676,88.102005
"          NA",88.4573669,79.120079
"          NA",93.9677658,83.3768234
"          NA",95.7447128,89.9233246
"          NA",92.8867111,84.6170959
"          NA",94.2097473,88.3564148
"          NA",87.9597321,83.1244354
"          NA",93.8642502,88.3458481
"          NA",91.2739258,85.5025253
"          NA",95.1355209,86.6514893
"          NA",95.1517258,90.543541
"          NA",95.4994278,91.8993073
"          NA",96.2065506,93.8369904
"          NA",91.6773758,87.7530518
"          NA",96.8043137,87.8034363
"          NA",96.0704956,91.3828735
"          NA",93.8222122,88.960907
"          NA",88.1156311,83.0840378
"          NA",92.2297592,87.0892792
"          NA",90.4727631,84.8029709
"          NA",83.7623215,80.4809647
"          NA",89.466217,84.5732956
"          NA",96.1165085,92.6389694
"          NA",93.0839996,90.8595505
"          NA",93.2759781,89.2200851
"          NA",89.089592,86.0706635
"          NA",91.9409027,84.7495728
"          NA",72.830864,71.222641
"          NA",94.1108322,90.3045578
"          NA",91.9359131,87.58181
"          NA",90.4452438,86.9979858
"          NA",84.3439484,82.8484344
"          NA",84.5917664,81.9677353
"          NA",92.0858841,87.1541901
"          NA",92.8739243,85.0891342
"          NA",87.6090088,85.5089111
"          NA",84.6808014,81.2308655
"          NA",91.5959015,84.645668
"          NA",91.0379486,82.6316986
"          NA",85.3654251,67.4389496
"          NA",84.5373154,72.4979248
"          NA",86.8283615,82.2397308
"          NA",88.3951569,75.9169388
"          NA",75.9900513,70.5692368
"          NA",89.6865005,75.9745483
"          NA",63.9874496,33.0436897
"          NA",67.0344238,54.9173241
"          NA",84.3243103,63.7702751
"          NA",55.1745796,35.9449883
"          NA",61.3331566,41.7481308
"          NA",80.1653976,45.6845512
"          NA",88.3484268,65.2449112
"          NA",84.3519516,63.2705727
"          NA",88.8661652,62.7941017
"          NA",89.4558563,76.3192673
"          NA",86.5044022,78.9327316
"          NA",59.1581192,52.3311272
"          NA",71.297081,62.9931946
"          NA",93.5421829,81.8780441
"          NA",90.5508652,75.5806427
"          NA",92.534111,77.6711273
